ekran;oge;durum;tur;on;zemin;oran;esik
ana;başlık: Runly Ayarları;dinlenik;yazı;#00F3FF;#000000;15.26;7
ana;başlık düğmesi ×;dinlenik;simge;#FFFFFF;#040405;20.49;3
ana;başlık düğmesi ×;hover;simge;#12AFC8;#260324;7.13;3
ana;başlık düğmesi □;dinlenik;simge;#FFFFFF;#040405;20.49;3
ana;başlık düğmesi □;hover;simge;#00F3FF;#032427;11.87;3
ana;başlık düğmesi ─;dinlenik;simge;#FFFFFF;#040405;20.49;3
ana;başlık düğmesi ─;hover;simge;#00F3FF;#032427;11.87;3
ana;tablo başlık: Etkin;dinlenik;yazı;#00F3FF;#08090A;14.49;7
ana;tablo başlık: Uzantı;dinlenik;yazı;#00F3FF;#08090A;14.49;7
ana;tablo başlık: Tür;dinlenik;yazı;#00F3FF;#08090A;14.49;7
ana;tablo başlık: İşleyici;dinlenik;yazı;#00F3FF;#08090A;14.49;7
ana;tablo başlık: Bulundu;dinlenik;yazı;#00F3FF;#08090A;14.49;7
ana;tablo başlık: Argümanlar;dinlenik;yazı;#00F3FF;#08090A;14.49;7
ana;tablo başlık: Durum;dinlenik;yazı;#00F3FF;#08090A;14.49;7
ana;tablo · Etkin (NeonCheckCell, kapalı);dinlenik;simge;#04858B;#08090A;4.49;3
ana;tablo · Uzantı (DataGridViewTextBoxCell, salt okunur);dinlenik;yazı;#FF54EB;#08090A;7.33;7
ana;tablo · Tür (NeonChipCell, kapalı);dinlenik;çip yazısı;#00F3FF;#062124;12.20;7
ana;tablo · İşleyici (DataGridViewTextBoxCell);dinlenik;yazı;#FFFFFF;#08090A;19.93;7
ana;tablo · Bulundu (DataGridViewTextBoxCell, salt okunur);dinlenik;yazı;#B7FFDB;#08090A;17.40;7
ana;tablo · Argümanlar (DataGridViewTextBoxCell);dinlenik;yazı;#FFFFFF;#08090A;19.93;7
ana;tablo · Durum (DataGridViewTextBoxCell, salt okunur);dinlenik;yazı;#34D399;#0E2820;8.13;7
ana;tablo · Tür (NeonChipCell, açık);dinlenik;çip yazısı;#C67EFF;#190D24;6.96;7
ana;tablo · Etkin (NeonCheckCell, açık);dinlenik;simge;#00F3FF;#08090A;14.49;3
ana;tablo · Etkin (NeonCheckCell, kapalı);hover;simge;#038A91;#08090A;4.79;3
ana;tablo · Tür (NeonChipCell, kapalı);hover;çip yazısı;#00F3FF;#06383B;9.33;7
ana;tablo · Tür (NeonChipCell, açık);hover;çip yazısı;#C67EFF;#28103B;6.38;7
ana;tablo · Etkin (NeonCheckCell, açık);hover;simge;#00F3FF;#08090A;14.49;3
ana;tablo · Etkin (NeonCheckCell, kapalı);basılı;simge;#039097;#08090A;5.16;3
ana;tablo · Tür (NeonChipCell, kapalı);basılı;çip yazısı;#00F3FF;#064E54;6.86;7
ana;tablo · Tür (NeonChipCell, açık);basılı;çip yazısı;#C67EFF;#3B1154;5.62;7
ana;tablo · Etkin (NeonCheckCell, açık);basılı;simge;#00F3FF;#08090A;14.49;3
ana;tablo · Etkin (NeonCheckCell, kapalı);seçili;simge;#00A3AB;#00494D;3.31;3
ana;tablo · Uzantı (DataGridViewTextBoxCell, salt okunur);seçili;yazı;#FFFFFF;#00494D;10.19;7
ana;tablo · Tür (NeonChipCell, kapalı);seçili;çip yazısı;#00F3FF;#005B5F;5.73;7
ana;tablo · İşleyici (DataGridViewTextBoxCell);seçili;yazı;#FFFFFF;#00494D;10.19;7
ana;tablo · Bulundu (DataGridViewTextBoxCell, salt okunur);seçili;yazı;#B6FFE4;#00494D;8.94;7
ana;tablo · Argümanlar (DataGridViewTextBoxCell);seçili;yazı;#FFFFFF;#00494D;10.19;7
ana;tablo · Durum (DataGridViewTextBoxCell, salt okunur);seçili;yazı;#FFFFFF;#08090A;19.93;7
ana;tablo · Etkin (NeonCheckCell, kapalı);seçili+hover;simge;#00A7AF;#00494D;3.47;3
ana;tablo · Tür (NeonChipCell, kapalı);seçili+hover;çip yazısı;#00F3FF;#006B71;4.57;7
ana;tablo · Etkin (NeonCheckCell, kapalı);seçili+basılı;simge;#00ABB4;#00494D;3.63;3
ana;tablo · Tür (NeonChipCell, kapalı);seçili+basılı;çip yazısı;#00F3FF;#007C83;3.63;7
ana;NeonGroupPanel: Ayrıntılar;dinlenik;yazı;#00F3FF;#08090A;14.49;7
ana;Label: Bir satır seçtiğinizde ayrıntılar burada…;dinlenik;yazı;#FFFFFF;#08090A;19.93;7
ana;Label: Uzantı ara;dinlenik;yazı;#00F3FF;#000000;15.26;7
ana;NeonButton: Temizle;dinlenik;yazı;#C67EFF;#010102;7.78;7
ana;NeonButton: Temizle;hover;yazı;#C67EFF;#160520;7.27;7
ana;NeonButton: Temizle;basılı;yazı;#C67EFF;#160520;7.27;7
ana;NeonButton: Temizle;odak;yazı;#C67EFF;#010102;7.78;7
ana;NeonButton: Temizle;edilgen;yazı;#C67EFF;#010102;7.78;7
ana;NeonButton: Kategoriyi bu uygulamayla aç;dinlenik;yazı;#000000;#02B7C1;8.55;7
ana;NeonButton: Kategoriyi bu uygulamayla aç;hover;yazı;#000000;#01DCE7;12.39;7
ana;NeonButton: Kategoriyi bu uygulamayla aç;basılı;yazı;#000000;#01DCE7;12.39;7
ana;NeonButton: Kategoriyi bu uygulamayla aç;odak;yazı;#000000;#02B7C1;8.55;7
ana;NeonButton: Kategoriyi bu uygulamayla aç;edilgen;yazı;#000000;#02B7C1;8.55;7
ana;NeonButton: Tümünü seç;dinlenik;yazı;#C67EFF;#020203;7.73;7
ana;NeonButton: Tümünü seç;hover;yazı;#C67EFF;#170621;7.22;7
ana;NeonButton: Tümünü seç;basılı;yazı;#C67EFF;#170621;7.22;7
ana;NeonButton: Tümünü seç;odak;yazı;#C67EFF;#020203;7.73;7
ana;NeonButton: Tümünü seç;edilgen;yazı;#C67EFF;#020203;7.73;7
ana;NeonButton: Uzantı ekle;dinlenik;yazı;#C67EFF;#020203;7.73;7
ana;NeonButton: Uzantı ekle;hover;yazı;#C67EFF;#170621;7.22;7
ana;NeonButton: Uzantı ekle;basılı;yazı;#C67EFF;#170621;7.22;7
